"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.63","43.68","TORONTO INTL A","6158731","2024-10-01 00:00","2024","10","01","00:00","","17.6","","17.6","","100","","","","7","","10","","24.1","","99.55","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-10-01 01:00","2024","10","01","01:00","","17.3","","17.3","","100","","","","2","","6","","24.1","","99.55","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2024-10-01 02:00","2024","10","01","02:00","","17.0","","17.0","","100","","","","7","","5","","24.1","","99.50","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-10-01 03:00","2024","10","01","03:00","","16.9","","16.9","","100","","","","5","","5","","24.1","","99.48","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-10-01 04:00","2024","10","01","04:00","","15.3","","15.3","","100","","","","31","","5","","24.1","","99.48","","","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2024-10-01 05:00","2024","10","01","05:00","","16.5","","16.5","","100","","","","34","","5","","19.3","","99.46","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-10-01 06:00","2024","10","01","06:00","","16.8","","16.8","","100","","","","35","","4","","9.7","","99.46","","","","","","Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2024-10-01 07:00","2024","10","01","07:00","","17.3","","17.3","","100","","","","36","","4","","9.7","","99.47","","","","","","Fog"
"-79.63","43.68","TORONTO INTL A","6158731","2024-10-01 08:00","2024","10","01","08:00","","18.4","","18.4","","100","","","","5","","3","","16.1","","99.45","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-10-01 09:00","2024","10","01","09:00","","19.4","","19.1","","98","","","","","","0","","19.3","","99.45","","","","","","NA"
"-79.63","43.68","TORONTO INTL A","6158731","2024-10-01 10:00","2024","10","01","10:00","","20.5","","18.9","","91","","","","13","","3","","19.3","","99.41","","27","","","","Mostly Cloudy"
"-79.63","43.68","TORONTO INTL A","6158731","2024-10-01 11:00","2024","10","01","11:00","","21.0","","17.8","","81","","","","22","","7","","24.1","","99.42","","27","","","","NA"
